PETITION_NBR,FILING_DATE,OFFICIAL_TITLE,TYPE,STATUS,ASSOCIATION_ROLE,ASSOCIATION_NAME,RESIDENCY_COUNTRY,GOAL,SIGN_NBR_ELECTRONIC,SIGN_NBR_PAPER,MOTIVATION
311,01/10/2012,"Pétition pour la construction d'un mur antibruit sur la voie ferroviaire Luxembourg-Esch/Alzette en vertu de la directive européenne 2002/49/CE",ORD,CLOTUREE,,,LU,,,,
316,29/05/2012,"Pétition pour une planète sans pesticides",ORD,CLOTUREE,,,LU,,,,
317,05/06/2012,"Pétition concernant l'article 58-2 de la loi sur la TVA",ORD,CLOTUREE,Président,"Fédération des entreprises du machinisme agricole et industriel du Grand-Duché de Luxembourg",LU,,,,
320,17/09/2012,"Pétition concernant les visas ouverts aux ressortissants luxembourgeois souhaitant travailler en Australie et au Canada",ORD,CLOTUREE,,,LU,,,,
321,10/10/2012,"Pétition concernant l'autorisation d'une installation de production d'asphalte à Schifflange",ORD,CLOTUREE,,,LU,,,,
322,10/10/2012,"Pétition pour le renouvellement et l'agrandissement du Musée national de la Résistance d'Esch/Alzette ",ORD,CLOTUREE,Président,"""Frënn vum Resistenzmusée"" a.s.b.l.",LU,,,,
323,06/12/2012,"Pétition pour l\u2019utilisation du cannabis à des fins médicales ",ORD,RETIREE,Membre,"Union francophone pour les cannabinoïdes en médecine",LU,,,,
324,27/05/2013,"Pétition concernant l'organisation du secteur des taxis",ORD,CLOTUREE,,,LU,,,,
325,24/06/2013,"Petition für ein Verbot von Stachelhalsbändern und Würgehalsbändern in Luxemburg",ORD,CLOTUREE,,,LU,"Wir wären Ihnen sehr verbunden, wenn der bestehende Gesetzestext des Luxemburger Tierschutzgesetzes (Règlement grand-ducal du 18 mars 2000 déterminant les conditions de confort minima de détention et d'entretien des animaux de compagnie, CHAPITRE 2 - PRESCRIPTIONS PARTICULIERES CONCERNANT LA DETENTION DE CERTAINS ANIMAUX DE COMPAGNIE; Section 1: Chiens), durch ein explizit formuliertes Verbot des Gebrauchs von Stachelhalsbändern und Würgehalsbändern ergänzt wird, sowohl von Privatpersonen, als auch innerhalb von Hundeschulen. Dieses Gesetz sollte zudem durchgesetzt werden, indem Verstöße geahndet werden, da solche Hilfsmittel aus medizinischer Sicht nicht vertretbar sind, dem Tier Schmerzen zufügen und heutzutage unnötig sind.
Zudem besagt das Règlement grand-ducal du 18 mars 2000 déterminant les conditions de confort minima de détention et d'entretien des animaux de compagnie, CHAPITRE 2 - PRESCRIPTIONS PARTICULIERES CONCERNANT LA DETENTION DE CERTAINS ANIMAUX DE COMPAGNIE; Section 1: Chiens, dass es sinngemäß verboten ist, Tieren im Training Schmerzen zuzufügen oder Mittel anzuwenden die Tiere leiden lassen, wozu bereits das Verbot von Elektrohalsbändern gehört.
Genau solche Leiden entstehen allerdings ebenfalls durch den Gebrauch von Stachel- und Würgerhalsbändern und diese haben sogar erheblichere gesundheitsschädigende Auswirkungen, so dass es verwunderlich ist, dass lediglich das Elektrohalsband verboten ist.
In der Schweiz und in Österreich sind zumindest Stachelhalsbänder gesetzlich verboten. In beiden Ländern werden strenge Kontrollen durchgeführt und bei Verstoß wird das Vergehen mit Geldstrafen geahndet. Zudem wurde vor einigen Monaten in unserem Nachbarland Deutschland eine Petition eingereicht, um in der Bundesrepublik den Gebrauch von Stachelhalsbändern gesetzlich zu verbieten. Der Grund warum wir neben den Stachelhalsbändern auch ein Verbot von Würgern wünschen, resultiert daraus, dass Würger genauso schädlich für die Gesundheit des Hundes sind und nicht minder schmerzbringend.
Zudem sind schmerzbringende Hilfsmittel in unserer heutigen Zeit völlig sinnlos, da durch Forschung zum Lernverhalten von Hunden etliche Trainingsmethoden ohne jegliche Gewaltanwendung zur Verfügung stehen. Des Weiteren gibt es in extremen Fällen Hilfsmittel wie Halti harness oder Halti, welche eine perfekte Kontrolle des Hundes ermöglichen ohne Schmerzen zuzufügen. Allerdings müssen diese von qualifizierten Trainern erklärt werden, da bei unsachgemäßem Gebrauch auch diese Hilfsmittel dem Hund schaden! Hierfür stehen kompetente Hundeschulen in Luxemburg und in Deutschland zur Verfügung.
Nachgewiesene physische Schäden beim Hund durch das Tragen von Stachel- und Würgehalsbändern sind z.B. durchstechen der Haut; Quetschungen des Kehlkops; Traumatisierung der Hals- und Rückenwirbelsäule; Erhöhung des Augeninnendrucks; widernatürliche Hals- und Kopfhaltung mit dauerhafter Schädigung des Bewegungsapparates.
Nachgewiesene psychische Leiden sind z.B. schmerzinduziertes Angst- oder Aggressionsverhalten; erhöhter Cortisolspiegel; Schilddrüsenunterfunktion durch Dauerstress; hoher Erregungslevel mit größerer Anfälligkeit zu Meide-, Angst- oder Aggressionsverhalten; Fehlverknüpfungen von Schmerz und Umwelt mit erhöhtem Angst- oder Aggressionsreaktionen; Schmerzflucht mit Bewegungstendenz nach vorne mit der Konsequenz, dass der Schmerz steigt.
Vor allem ist zu bedenken, dass die meisten Hundehalter, welche Stachel oder Würgerhalsbänder benutzen, diese nicht einmal als Hilfsmittel, sondern als dauerhaftes Halsband ansehen, so dass die meisten Hunde damit auch noch angebunden werden oder mit solchen Halsbändern an der Ausrollleine laufen oder frei herum laufen. All dies verstärkt die gesundheitsschädigenden Einflüsse solcher Halsbänder noch zusätzlich, da der Hund hierbei unkontrollierter und mit größerer Kraft in die Leine rennt und beim Freilauf mit solchen Halsbändern besteht zudem die Gefahr, dass die Hunde hängen bleiben und sich verletzen.",,,
326,28/08/2013,"Pétition contre le projet d'implantation d'une usine d'asphalte dans la zone industrielle ""Um Monkeler""",ORD,CLOTUREE,,,LU,"Monsieur le Président de la Chambre des Députés du Grand-Duché du Luxembourg :
Nous, nous prenons la respectueuse liberté de vous faire parvenir ci-joint une pétition signée par 1094 habitants des quartiers résidentiels d'Esch-Lallange et de Schifflange en vue de s'opposer formellement au projet d'implantation et d'exploitation d'une usine d'asphalte dans la zone industrielle 'Um Monkeler' située sur le territoire des Communes d'Esch-sur-Alzette et de Schifflange.
Veuillez noter que cette pétition a également été déposée auprès des Communes de Esch-sur-AIzette, Schifflange et de Mondercange dans le cadre de la procédure commodo-inocmmodo relative au projet en question et conformément à la loi des établissements-classées en vigueur.
En outre des nombreuses réclamations reprises au niveau du document adressé aux communes dans le cadre de la procédure commodo-incommodo, nous venons de constater également que le projet en question n'est pas compatible au futur projet d'une nouvelle liaison ferroviaire Luxembourg-Esch.
Comme vous pouvez le constater au niveau du document ci-joint, la variante 1 dudit projet ferroviaire traverse le terrain prévu pour l'installation de l'usine d'asphalté en question.
Même si ce projet est actuellement en suspens eh raison de la situation financière du Grand-Duché du Luxembourg, il convient de noter que ledit projet a été intégré bel et bien au niveau du PAG de la Commune de Schifflange et qu'il s'ensuit que ce PAG ne saura être respecté lors de la construction de l'usine !
Sachant en plus que la variante 1 constitue celle susceptible d'être réalisée un jour (la variante 3 est à considérer plutôt comme illusoire avec comme projet un tunnel partant de Foetz pour rejoindre la Gare d'Esch !), nous ne pouvons accepter que le Luxembourg se prive de la possibilité de pouvoir réaliser cette ligne ferroviaire au profit d'une usine d'asphalte !
Veuillez accepter Monsieur le Président, l'expression de nos sentiments les plus distingués.",,,
327,13/01/2014,"Pétition pour la reconnaissance de la thérapie de la douleur au Luxembourg",ORD,CLOTUREE,Présidente,ALPADOC,LU,,,,
328,31/01/2014,"Solidarité avec l'Education",ORD,CLOTUREE,Secrétaire,"APEG, LBSA, APEL",LU,"Monsieur le Président, 
Permettez-nous, représentants des associations APEG, LBSA ET APEL, de vous soumettre notre pétition « Solidarité avec l'Education» avec plus de 11.300 signatures récoltées.
Devant les défis d'une société devenue complexe et en mutation permanente, nous sommes soucieux des développements dans le secteur social et éducatif.
Si nous parlons de « solidarité avec l'éducation», nous entendons aussi que nous, en tant que professionnels du terrain, souhaitons promouvoir le dialogue avec le Gouvernement. Nous espérons durant cette période de législation faire valoir nos revendications du travail socio-éducatif.
Nous disposons d'un savoir solide et d'expériences acquis pendant de longues années et il nous tient à coeur de le partager à tous les niveaux. Nous avons constaté et regretté que certains changements (p.ex. concernant l'homologation de diplômes étrangers) dans le domaine des professions socio-éducatives ont été réalisé sans demande d'avis auprès des associations professionnelles.
Nous poursuivons les objectifs, tels que définis lors du « AIEJI Worldcongress » (www.worldcongress.lu) qui s'est tenu à Luxembourg en avril 2013, dont les axes principaux étaient les suivants :
- Contribution à une meilleure intégration
- Encourager l'inclusion sociale
- Favoriser l'égalité des chances
Nous nous engageons pour lutter contre toutes formes de discriminations en incitant les gens à défendre des valeurs telles que la tolérance, la solidarité et le sens de responsabilité.
Nous envisageons également améliorer la qualité de travail dans notre secteur qui à nos yeux ne devienne réalisable que si les professionnels créent des synergies institutionnelles nationales et internationales. Tous les professionnels du domaine social sont des acteurs indispensables pour prévenir la cohérence sociale dans notre société.
Enfin, nous désirons que notre travail jouisse enfin d'une reconnaissance sociétale, politique et financière.
Nous vous prions, Monsieur le Président, de soumettre notre dossier à la commission des pétitions, ainsi qu'aux ministres compétents, à Madame Corinne Cahen, Ministre de la Famille, de l'lntégration et de la Grande Région et à Monsieur Claude Meisch, Ministre de l'Education nationale, de l'Enfance et de la Jeunesse, de l\u2019Enseignement supérieur et de la Recherche.
En vous remerciant, veuillez agréer, Monsieur le Président, l'expression de notre plus haute considération.

En annexe: 
notre prise de position commune sur l'accord gouvernemental
nos propositions concernant un travail éducatif de qualité au Luxembourg
les classeurs avec les 11.365 signatures
textes divers",,,
329,12/03/2014,"Garantir l'indépendance des étudiants face à des réformes du système d'aide financière",PUB,CLOTUREE,,,LU,"Il est primordial pour le Luxembourg de donner la possibilité au plus large nombre possible de jeunes gens de faire des études supérieures. Cependant ce n'est pas tout le monde qui ait le support nécessaire par ces parents. Dans cette optique il est primordial que le principe d'indépendance de l'étudiant face à ces parents reste garanti lors d'une réforme de l'aide financière pour études supérieures. De plus est il nécessaire d'augmenter le montant de base proposé par Monsieur le Ministres de l'Education Nationale Claude Meisch pour qu'il soit au moins de même hauteur que le montant d'allocations familiales que l'étudiant aurait touché sous l'ancien régime des allocations familiales. Un problème additionnel se présente au sein de l'administration du CEDIES, c'est que le CEDIES ne dispose pas d'assez de personnel pour garantir un traitement dans un délai inférieur à un mois pour chaque demande complète. Comme beaucoup d'étudiants ont besoin de cette argent (même du prêt) pour pouvoir payer les dépenses quotidiennes les plus nécessaires, il faut engager plus de personnel pour le compte du CEDIES.

Ceci dit, les buts de la pétition sont :
- La garantie de l'indépendance des étudiants face à des tiers.
- L'adaptation du montant de bourse de base au montant des allocations familiales.
- L'engagement de plus de personnel au sein de l'administration CEDIES pour gérer les demandes dans un délai limite d'un mois.",4540,,
330,20/03/2014,"'- Géint d'Zäitëmstellung",PUB,RETIREE,Administrateur,"Pétitioun géngt d'Zäitëmstellung, site internet FB",LU,"Keng Emstellung méi vun Summer- op Wanterzäit oder emgedréint",,,
331,20/03/2014,"Méi ee strengt Déiereschutzgesetz",PUB,CLOTUREE,,,LU,"Protéger les animaux et punir plus lourdement la cruauté contre les animaux: Bei engem méi strengen Déiereschutzgesetz geet et jo net nëmmen em bestëmmten Déieren, mee  em sämtlech Déieren um nationalen Terrain.
Dobäi kënt, datt eiser Meenung no iwwert d'Déiereschutzgesetz och Werter vermëttelt ginn. Et ka just am nationalen Intérêt sinn, wann de strikte Respekt vun all Liewewiesen hei am Land ginn ass. An dat fängt bei den Déieren un. Mir denken och, datt een am internationalen Emfeld domat eng däitlech Positioun anhuele kann, eng Positioun déi um Respekt vum Déier baséiert. Et huet ee jo rezent matkritt, souwuel am Inland wéi och am Ausland, datt de Mënschen d'Wuelergoen vun den Déieren um Härze läit ( Virfäll am Inland, am Frankreich, an Dänemark mat der Giraffe aus dem Zoo, a Japan mat de Walen, etc.). Mat engem strengen Déiereschutz hëlt een do eng noutwendeg, fortschrëttlech an ""wertvoll"" Positioun an, déi vermëttelt datt de Respekt vun den Déieren, an der Natur iwwerhaapt, an der heiteger Welt vu Globaliséierung a Kapitalismus, an engem moderne Land net ze kuurz kommen dierf an net ze kuurz kënt. An engems setzt een e kloert Signal a Richtung vun de potenziellen Déierequäler an schützt esoumat am Idealfall sämtlech Stéit am Land virun enger Mësshandlung vun hierem muussegen, pelzegen oder gefiederte Frënd. Eng Nécessitéit an eng Reklamm fir eist Land!",5414,,
332,20/03/2014,"Berücksichtigung der Mehrsprachigkeit bei etat.lu ",PUB,SEUIL_NON_ATTEINT,,,LU,"Diese Petition hat zum Zweck dass die Mehrsprachigkeit des Landes bei sämtlichen staatlichen Internetseiten berücksichtigt wird welche bei etat.lu gelistet sind. Das heisst unter anderem dass vor allem luxemburgisch, deutsch und englisch angeboten werden soll. Es ist äusserst schwierig, wenn man nicht Recht in französischer Sprache studiert hat, sich in den offiziellen Internetseiten der Ministerien zurecht zu finden. 
Deshalb wäre es von nationalem Interesse dass sämtliche Ministerien, Behörden usw. ihre Internetseiten in allen gebräuchlichen Sprachen des Landes anbieten damit ein Grossteil der Bevölkerung sich der Sprache bedienen kann welcher für diesen am verständlichsten ist: Luxemburgisch, Deutsch, Französisch und Englisch.

Als Anmerkung, wenigsten das Luxemburgische müsse dort vertreten sein da es, erstens, die Sprache der Luxemburger ist und, zweitens, soll der Staat unsere Sprache fördern, das fängt damit an sein Angebot auch in dieser Sprache anzubieten.

",298,,
332,16/06/2014,"Berücksichtigung der Mehrsprachigkeit bei etat.lu ",ORD,CLOTUREE,,,LU,"Diese Petition hat zum Zweck dass die Mehrsprachigkeit des Landes bei sämtlichen staatlichen Internetseiten berücksichtigt wird welche bei etat.lu gelistet sind. Das heisst unter anderem dass vor allem luxemburgisch, deutsch und englisch angeboten werden soll. Es ist äusserst schwierig, wenn man nicht Recht in französischer Sprache studiert hat, sich in den offiziellen Internetseiten der Ministerien zurecht zu finden. \u000D\u000ADeshalb wäre es von nationalem Interesse dass sämtliche Ministerien, Behörden usw. ihre Internetseiten in allen gebräuchlichen Sprachen des Landes anbieten damit ein Grossteil der Bevölkerung sich der Sprache bedienen kann welcher für diesen am verständlichsten ist: Luxemburgisch, Deutsch, Französisch und Englisch.\u000D\u000A\u000D\u000AAls Anmerkung, wenigsten das Luxemburgische müsse dort vertreten sein da es, erstens, die Sprache der Luxemburger ist und, zweitens, soll der Staat unsere Sprache fördern, das fängt damit an sein Angebot auch in dieser Sprache anzubieten.\u000D\u000A\u000D\u000A",,,
333,21/03/2014,"'- Géint den Tram a fir d'Ofhale vun engem Referendum ",PUB,CLOTUREE,,,LU,"De But ass ganz kloer --> Demokratie --> Referendum : D'Vollek soll entscheeden, ob sou ee grousse Projet an enger Krisenzäit, wou gespuert soll ginn, iwwerhaapt a Fro dierf kommen. Des Weidere fannen ech et ëmmer rëm schlëmm, wann dovu geschwat gëtt, dat géing de Mobilitéitsproblem léisen. Mä hutt Dir schon déi betraffe Leit gefrot, an dat si virun allem Frontalieren, ob déi elo bis an d'Stat erafueren oder just bis an d'Périphérie vun der Stat? Dat wäert guer a glat näischt un deenen 150.000 Frontalieren änneren, déi all Dag iwwer eis Grenze kommen an d'Autobunne vollstoppen. Et wier bei Wäitem méi schlau, eng Vignette anzeféieren oder sech iwwer aner Mobilitéitsiddie Gedanken ze maachen (Ausbau vun der franséischer Autobunn op duerchgängegen 3 Spueren, etc. ) ",7105,,
334,21/03/2014,"Pour la révision de la hauteur de trottoirs et ajustement de cette hauteur",PUB,SEUIL_NON_ATTEINT,,,LU,"Révision de la hauteur de trottoirs et ajustement de cette hauteur pour des citoyens avec jambes de longueur non-équivalentes (droite comparée à la gauche et vice-versa), pour les personnes âgées, les citoyens handicapés, les petits animaux ou aussi ouvriers devrant porter des charges lourdes et ne pouvant pas prendre une marche trop élevée.",44,,
334,05/06/2014,"Pour la révision de la hauteur de trottoirs et ajustement de cette hauteur",ORD,CLOTUREE,,,LU,"Révision de la hauteur de trottoirs et ajustement de cette hauteur pour des citoyens avec jambes de longueur non-équivalentes (droite comparée à la gauche et vice-versa), pour les personnes âgées, les citoyens handicapés, les petits animaux ou aussi ouvriers devrant porter des charges lourdes et ne pouvant pas prendre une marche trop élevée.",,,
335,21/03/2014,"Introduction d'un revenu de base universel pour tous les citoyens du Luxembourg",PUB,SEUIL_NON_ATTEINT,,,LU,"But de la pétition :
Le revenu de base universel  est un revenu  versé par une communauté politique  à tous ses membres, sur une base individuelle, sans conditions de ressources ni obligation de travail . Il reconnait la participation de l'individu pour la société, indépendamment de la mesure de l\u2019emploi.
Ce revenu de base devrait s\u2019orienter au seuil de la pauvreté tel qu\u2019il est défini pour chaque pays par la communauté européenne. Un revenu de base universel est un acte de solidarité et de bon sens et non une aide sociale, même si son introduction éviterait maintes situations d\u2019exclusion et pourrait alléger le budget au niveau de certains  actes bureaucratiques et de certaines  prestations sociales destinées aux personnes défavorisées.
Les capacités de chaque citoyen lui sont innées et lui sont mises à disposition « gratuitement ». La société lui a offert une éducation essayant d\u2019optimiser ces capacités, afin qu\u2019il puisse  les mettre à disposition de la communauté dans laquelle il vit. Ceci est normalement un besoin vital de chaque être humain. Rares sont ceux qui ne font rien pour d\u2019autres citoyens, s\u2019ils en ont la possibilité, car offrir ses capacités satisfait ses besoins de contacts sociaux et de sens de la vie. Mais pas tout le monde reçoit un revenu pour ses prestations. En plus travailler pour les autres permet une contribution individuelle à une économie, dont le but principale devrait être l\u2019entraide à la satisfaction des besoins des citoyens de la communauté en question.  
En plus des capacités des citoyens l\u2019économie d\u2019une communauté politique utilise les ressources naturelles, également offertes « gratuitement » par l\u2019univers, ainsi que le travail, les réalisations et les inventions de nos ancêtres. Le fruit de ces atouts pour l\u2019économie, qui de nos jours est une économie où quasi chaque citoyens travaille pour d\u2019autres citoyens et non plus pour lui et son entourage familial, devrait permettre un revenu de base inconditionnel à chaque citoyen, pour qu\u2019il puisse continuer à offrir sa participation au processus économique et ceci sans craintes de survie et de pauvreté et dans le respect de la dignité humaine.
",315,,
335,05/06/2014,"Introduction d'un revenu de base universel pour tous les citoyens du Luxembourg",ORD,CLOTUREE,,,LU,"But de la pétition :\u000D\u000ALe revenu de base universel  est un revenu  versé par une communauté politique  à tous ses membres, sur une base individuelle, sans conditions de ressources ni obligation de travail . Il reconnait la participation de l'individu pour la société, indépendamment de la mesure de l\u2019emploi.\u000D\u000ACe revenu de base devrait s\u2019orienter au seuil de la pauvreté tel qu\u2019il est défini pour chaque pays par la communauté européenne. Un revenu de base universel est un acte de solidarité et de bon sens et non une aide sociale, même si son introduction éviterait maintes situations d\u2019exclusion et pourrait alléger le budget au niveau de certains  actes bureaucratiques et de certaines  prestations sociales destinées aux personnes défavorisées.\u000D\u000ALes capacités de chaque citoyen lui sont innées et lui sont mises à disposition « gratuitement ». La société lui a offert une éducation essayant d\u2019optimiser ces capacités, afin qu\u2019il puisse  les mettre à disposition de la communauté dans laquelle il vit. Ceci est normalement un besoin vital de chaque être humain. Rares sont ceux qui ne font rien pour d\u2019autres citoyens, s\u2019ils en ont la possibilité, car offrir ses capacités satisfait ses besoins de contacts sociaux et de sens de la vie. Mais pas tout le monde reçoit un revenu pour ses prestations. En plus travailler pour les autres permet une contribution individuelle à une économie, dont le but principale devrait être l\u2019entraide à la satisfaction des besoins des citoyens de la communauté en question.  \u000D\u000AEn plus des capacités des citoyens l\u2019économie d\u2019une communauté politique utilise les ressources naturelles, également offertes « gratuitement » par l\u2019univers, ainsi que le travail, les réalisations et les inventions de nos ancêtres. Le fruit de ces atouts pour l\u2019économie, qui de nos jours est une économie où quasi chaque citoyens travaille pour d\u2019autres citoyens et non plus pour lui et son entourage familial, devrait permettre un revenu de base inconditionnel à chaque citoyen, pour qu\u2019il puisse continuer à offrir sa participation au processus économique et ceci sans craintes de survie et de pauvreté et dans le respect de la dignité humaine.\u000D\u000A",,,
336,24/03/2014,"Etude destinée à l'évaluation des paramètres de la ""Fonction d'Utilité"" conditionnant le ""modal-split"" en matière d'utilisation du transport en commun à Luxembourg",PUB,SEUIL_NON_ATTEINT,,,LU,"La discussion au sujet des paramètres visés permettra d'évaluer l'ensemble du transport en commun au Luxembourg quant à son efficacité présente et future sur des bases scientifiques indiscutables.
Si la proposition de Mme Sam Tanson, échevine de la Ville de Luxembourg, visant une réorganisation des bus VDL et RGTR, est mise en exécution, il faudrait profiter de cette opération pour dégager l\u2019effet induit sur le fameux modal-split entre la proportion d\u2019usagers du transport en commun par rapport à ceux qui préfèrent utiliser leur propre voiture. D\u2019après une étude réalisée aux USA les facteurs principaux intervenant dans la « fonction d\u2019utilité » en cette matière sont le coût de chaque alternative, ainsi que le « temps mort », perdu pour rejoindre le moyen de transport et pour rejoindre sa destination. La connaissance de ces facteurs servirait ensuite à évaluer l\u2019effet sur ledit « modal-split » de la réalisation du projet « tram ». En effet ce projet ne devrait être réalisé que s\u2019il est démontré qu\u2019il dégage une réelle plus-value en termes d\u2019amélioration du « modal-split », à défaut de dégager une vraie rentabilité financière, étant donné la situation de déficit chronique du réseau de transport en commun luxembourgeois.",35,,
336,05/06/2014,"Etude destinée à l'évaluation des paramètres de la ""Fonction d'Utilité"" conditionnant le ""modal-split"" en matière d'utilisation du transport en commun à Luxembourg",ORD,CLOTUREE,,,LU,"La discussion au sujet des paramètres visés permettra d'évaluer l'ensemble du transport en commun au Luxembourg quant à son efficacité présente et future sur des bases scientifiques indiscutables.
Si la proposition de Mme Sam Tanson, échevine de la Ville de Luxembourg, visant une réorganisation des bus VDL et RGTR, est mise en exécution, il faudrait profiter de cette opération pour dégager l\u2019effet induit sur le fameux modal-split entre la proportion d\u2019usagers du transport en commun par rapport à ceux qui préfèrent utiliser leur propre voiture. D\u2019après une étude réalisée aux USA les facteurs principaux intervenant dans la « fonction d\u2019utilité » en cette matière sont le coût de chaque alternative, ainsi que le « temps mort », perdu pour rejoindre le moyen de transport et pour rejoindre sa destination. La connaissance de ces facteurs servirait ensuite à évaluer l\u2019effet sur ledit « modal-split » de la réalisation du projet « tram ». En effet ce projet ne devrait être réalisé que s\u2019il est démontré qu\u2019il dégage une réelle plus-value en termes d\u2019amélioration du « modal-split », à défaut de dégager une vraie rentabilité financière, étant donné la situation de déficit chronique du réseau de transport en commun luxembourgeois.",,,
337,25/03/2014,"Services multimédias ayant leur siège au Luxembourg",PUB,SEUIL_NON_ATTEINT,,,LU,"Il y a tant de services multimédia qui ont leur siège au Luxembourg mais n'offrent pas leurs services pour les citoyens luxembourgeois. 
Par exemple Netflix ou Amazon avec Lovefilm.
Il faudrait obliger ces firmes à délivrer leurs services complets pour les luxembourgeois au lieu de ne profiter que des avantages fiscaux!",131,,
337,05/06/2014,"Services multimédias ayant leur siège au Luxembourg",ORD,CLOTUREE,,,LU,"Il y a tant de services multimédia qui ont leur siège au Luxembourg mais n'offrent pas leurs services pour les citoyens luxembourgeois. \u000D\u000APar exemple Netflix ou Amazon avec Lovefilm.\u000D\u000AIl faudrait obliger ces firmes à délivrer leurs services complets pour les luxembourgeois au lieu de ne profiter que des avantages fiscaux!",,,
338,29/03/2014,"Subvention de la mobilité 100% électrique à 2 roues",PUB,SEUIL_NON_ATTEINT,,,LU,"
À ce jour, seules les voitures 100% électriques profitent d'une subvention de l'état lors d'une acquisition. Or il existe, et des nouveaux modèles sont en phase de développement, des ""demi-voitures"" parfaitement adaptées aux problèmes de la circulation surtout pendant les heures à haut trafic. Ces motos existent à habitacle clos ou non, sont à 100% électriques, prennent moins de place dans le trafic, ont une autonomie de 200km et plus et représentent donc un choix bien plus écologique du point de vue consommation et production que des voitures électriques, hybrides ou à combustion. Je voudrais que les responsables élus se rendent compte que ces solutions existent et sont en développement. Un de ces modèles se tient debout graçe à la technologie de gyroscopes et se conduit comme une voiture (volant, pédales etc.) et est équipé d'airbags. 
Or, ces solutions bien plus écologiques que les voitures traditionnelles sont à présent nullement considérés, fait contraire à toute logique de pensée que se dit vouloir favoriser des idées impliquant de nouvelles technologies pour améliorer la qualité de vie dans nos régions métropolitaines.

C'est avec mes sentiments les plus distingués que je vous prie, mesdames, messieurs, de bien vouloir porter votre considération à la présente pétition en vue de supporter des nouvelles solutions ""smart"".


",82,,
338,05/06/2014,"Subvention de la mobilité 100% électrique à 2 roues",ORD,CLOTUREE,,,LU,"
À ce jour, seules les voitures 100% électriques profitent d'une subvention de l'état lors d'une acquisition. Or il existe, et des nouveaux modèles sont en phase de développement, des ""demi-voitures"" parfaitement adaptées aux problèmes de la circulation surtout pendant les heures à haut trafic. Ces motos existent à habitacle clos ou non, sont à 100% électriques, prennent moins de place dans le trafic, ont une autonomie de 200km et plus et représentent donc un choix bien plus écologique du point de vue consommation et production que des voitures électriques, hybrides ou à combustion. Je voudrais que les responsables élus se rendent compte que ces solutions existent et sont en développement. Un de ces modèles se tient debout graçe à la technologie de gyroscopes et se conduit comme une voiture (volant, pédales etc.) et est équipé d'airbags. 
Or, ces solutions bien plus écologiques que les voitures traditionnelles sont à présent nullement considérés, fait contraire à toute logique de pensée que se dit vouloir favoriser des idées impliquant de nouvelles technologies pour améliorer la qualité de vie dans nos régions métropolitaines.

C'est avec mes sentiments les plus distingués que je vous prie, mesdames, messieurs, de bien vouloir porter votre considération à la présente pétition en vue de supporter des nouvelles solutions ""smart"".


",,,
